date,count
2012-12-02,20778
2012-12-03,30026
2012-12-04,30295
2012-12-05,30105
2012-12-06,29559
2012-12-07,26613
2012-12-08,18467
2012-12-09,20055
2012-12-10,28579
2012-12-11,29642
2012-12-12,29168
2012-12-13,28652
2012-12-14,26568
2012-12-15,17788
2012-12-16,18785
2012-12-17,27496
2012-12-18,27723
2012-12-19,27055
2012-12-20,26013
2012-12-21,23140
2012-12-22,15245
2012-12-23,14097
2012-12-24,16373
2012-12-25,13596
2012-12-26,17465
2012-12-27,20445
2012-12-28,20120
2012-12-29,16407
2012-12-30,15777
2012-12-31,6200
2013-01-01,11208
2013-01-02,22522
2013-01-03,24859
2013-01-04,25302
2013-01-05,19114
2013-01-06,19650
2013-01-07,27504
2013-01-08,29375
2013-01-09,29679
2013-01-10,29661
2013-01-11,28997
2013-01-12,19920
2013-01-13,21301
2013-01-14,30089
2013-01-15,30936
2013-01-16,31416
2013-01-17,30992
2013-01-18,29420
2013-01-19,20790
2013-01-20,21897
2013-01-21,29606
2013-01-22,31573
2013-01-23,32344
2013-01-24,32485
2013-01-25,30793
2013-01-26,21917
2013-01-27,23032
2013-01-28,31946
2013-01-29,33487
2013-01-30,33192
2013-01-31,32722
2013-02-01,30716
2013-02-02,21484
2013-02-03,22962
2013-02-04,31284
2013-02-05,33106
2013-02-06,32976
2013-02-07,32429
2013-02-08,30524
2013-02-09,21085
2013-02-10,22281
2013-02-11,30989
2013-02-12,32543
2013-02-13,31854
2013-02-14,30875
2013-02-15,29531
2013-02-16,22299
2013-02-17,23941
2013-02-18,33106
2013-02-19,35274
2013-02-20,35265
2013-02-21,34535
2013-02-22,33009
2013-02-23,23466
2013-02-24,24903
2013-02-25,35081
2013-02-26,36143
2013-02-27,35992
2013-02-28,35284
2013-03-01,33063
2013-03-02,23944
2013-03-03,25119
2013-03-04,35777
2013-03-05,36559
2013-03-06,35998
2013-03-07,35682
2013-03-08,33619
2013-03-09,23860
2013-03-10,25293
2013-03-11,36253
2013-03-12,37391
2013-03-13,37132
2013-03-14,36044
2013-03-15,34297
2013-03-16,24005
2013-03-17,25836
2013-03-18,36614
2013-03-19,38229
2013-03-20,38085
2013-03-21,37290
2013-03-22,35173
2013-03-23,23732
2013-03-24,26573
2013-03-25,38095
2013-03-26,38959
2013-03-27,36841
2013-03-28,35861
2013-03-29,31458
2013-03-30,23375
2013-03-31,23229
2013-04-01,32188
2013-04-02,37574
2013-04-03,37688
2013-04-04,36662
2013-04-05,35247
2013-04-06,25579
2013-04-07,28152
2013-04-08,38770
2013-04-09,39537
2013-04-10,39099
2013-04-11,38970
2013-04-12,37006
2013-04-13,25241
2013-04-14,26604
2013-04-15,38046
2013-04-16,39572
2013-04-17,39873
2013-04-18,39338
2013-04-19,36343
2013-04-20,25210
2013-04-21,26877
2013-04-22,39663
2013-04-23,40706
2013-04-24,39844
2013-04-25,38703
2013-04-26,35427
2013-04-27,26071
2013-04-28,27388
2013-04-29,37487
2013-04-30,36940
2013-05-01,33606
2013-05-02,37390
2013-05-03,35633
2013-05-04,24228
2013-05-05,24997
2013-05-06,36749
2013-05-07,37704
2013-05-08,37857
2013-05-09,35833
2013-05-10,34646
2013-05-11,24376
2013-05-12,25378
2013-05-13,38290
2013-05-14,39639
2013-05-15,38600
2013-05-16,38360
2013-05-17,35699
2013-05-18,23617
2013-05-19,24777
2013-05-20,36164
2013-05-21,38868
2013-05-22,39343
2013-05-23,38808
2013-05-24,35952
2013-05-25,23631
2013-05-26,24617
2013-05-27,33553
2013-05-28,38933
2013-05-29,39393
2013-05-30,37654
2013-05-31,36341
2013-06-01,23781
2013-06-02,25611
2013-06-03,38377
2013-06-04,39508
2013-06-05,38949
2013-06-06,38397
2013-06-07,36512
2013-06-08,24453
2013-06-09,25513
2013-06-10,35931
