date,count
2013-07-26,116872
2013-07-27,77351
2013-07-28,80072
2013-07-29,118024
2013-07-30,127233
2013-07-31,126069
2013-08-01,123806
2013-08-02,117287
2013-08-03,78294
2013-08-04,81340
2013-08-05,121884
2013-08-06,140598
2013-08-07,135207
2013-08-08,129595
2013-08-09,118857
2013-08-10,79326
2013-08-11,84576
2013-08-12,121073
2013-08-13,124754
2013-08-14,125035
2013-08-15,108648
2013-08-16,111030
2013-08-17,78689
2013-08-18,84077
2013-08-19,121616
2013-08-20,126139
2013-08-21,128240
2013-08-22,125658
2013-08-23,117214
2013-08-24,80942
2013-08-25,85148
2013-08-26,118936
2013-08-27,128661
2013-08-28,128903
2013-08-29,129028
2013-08-30,118532
2013-08-31,76722
2013-09-01,83685
2013-09-02,111808
2013-09-03,128140
2013-09-04,130558
2013-09-05,128955
2013-09-06,117074
2013-09-07,87333
2013-09-08,97238
2013-09-09,128752
2013-09-10,134507
2013-09-11,135664
2013-09-12,130893
2013-09-13,126595
2013-09-14,86009
2013-09-15,93417
2013-09-16,130581
2013-09-17,134302
2013-09-18,132458
2013-09-19,111347
2013-09-20,122164
2013-09-21,90796
2013-09-22,94958
2013-09-23,128323
2013-09-24,135941
2013-09-25,133675
2013-09-26,132061
2013-09-27,128186
2013-09-28,87860
2013-09-29,102239
2013-09-30,133482
2013-10-01,130696
2013-10-02,142102
2013-10-03,148859
2013-10-04,157842
2013-10-05,110107
2013-10-06,121482
2013-10-07,136997
2013-10-08,141907
2013-10-09,142372
2013-10-10,144724
2013-10-11,135435
2013-10-12,95611
2013-10-13,95409
2013-10-14,132712
2013-10-15,144514
2013-10-16,146543
2013-10-17,147440
2013-10-18,136052
2013-10-19,95631
2013-10-20,105367
2013-10-21,148314
2013-10-22,148558
2013-10-23,146793
2013-10-24,139644
2013-10-25,141256
2013-10-26,99103
2013-10-27,108881
2013-10-28,148815
2013-10-29,153905
2013-10-30,154744
2013-10-31,152401
2013-11-01,130521
2013-11-02,98639
2013-11-03,104558
2013-11-04,150157
2013-11-05,157287
2013-11-06,158361
2013-11-07,156229
2013-11-08,146522
2013-11-09,107306
2013-11-10,111473
2013-11-11,146924
2013-11-12,160533
2013-11-13,148267
2013-11-14,162083
2013-11-15,152084
2013-11-16,105667
2013-11-17,116319
2013-11-18,163315
2013-11-19,163037
2013-11-20,163757
2013-11-21,162241
2013-11-22,152725
2013-11-23,109106
2013-11-24,116096
2013-11-25,156762
