S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
88326,27823,38753,12790,74907,56717,59843,66034,57651,103147,25142,580248,78540,92797,29839,52369,19435,74931,41891,26806,74098,88996,60300,98283,334766,180648
92667,40195,42402,16144,101865,34774,46398,42945,35735,60893,28851,623262,108878,102093,43184,43524,35723,79909,29851,18644,52155,83242,47344,103004,400308,192571
53521,27027,50035,29364,75333,32934,14840,35502,57959,56990,36673,671522,112532,86437,37786,52311,43062,96199,33798,15662,43387,83098,55406,95677,374412,213371
223715,63929,180707,145730,229325,117718,71011,98724,147560,170642,127155,1146885,338184,134876,57732,124143,95077,170036,71390,53606,82559,163167,118231,145606,562916,389718
93269,38372,88451,88470,104516,54309,21720,35876,127711,130707,57483,923292,459537,84335,59697,63272,51386,111746,29758,19068,47278,90273,68952,120230,508013,302007
58173,20636,20030,25015,36272,28511,12936,40753,66357,55392,36318,565027,110315,71310,36909,34151,34536,66152,17255,22962,49439,66587,57220,102176,386743,192442
158814,78609,68583,93253,87101,74133,56100,173782,89362,164529,119083,910640,254965,110420,48110,65049,53158,91588,45847,46837,120335,105783,103035,171487,500982,283463
115454,194233,39299,60398,97441,51287,38678,191751,118385,140276,122885,911325,312746,101268,60592,51556,49642,97065,28310,24792,68349,82425,71839,158885,564585,279946
89100,81991,44379,62401,175955,45223,25890,38544,68494,100357,70832,889428,220860,101344,47964,52639,38472,99773,37467,28300,54660,128835,75316,127477,534218,259701
406134,122630,189159,246878,443882,132618,101872,256767,231140,298062,341712,2804279,672210,198841,100603,123900,115411,172203,69939,65407,124689,197751,166486,262933,868173,489710
198539,32570,54157,68609,103322,38444,21744,78235,95792,104829,139234,1325106,181861,119259,52231,61267,51643,127036,31563,30350,73073,107985,68447,177198,579552,297003
78969,19677,17038,4284,46913,27077,26612,37357,40419,55358,17134,559063,62586,77262,30597,30293,21051,79446,26203,16861,46677,68807,42034,90002,339840,140331
85105,37587,49540,15489,80286,56417,37480,57686,65214,82693,28161,700120,95594,87597,36308,54903,38665,70741,40794,27317,68214,79266,64122,103920,380878,195817
93908,46417,55896,14294,105065,34630,48182,46133,36636,71187,37409,654723,106782,109435,41861,49648,41231,89242,29699,25385,49226,76479,58061,114399,443227,205845
57414,30085,40327,38869,74380,34260,14387,34700,41810,48457,35274,621617,93671,88944,41583,55048,46014,92005,32006,18634,50615,76772,61558,105917,422331,222540
197378,61904,177070,149611,192447,133182,98945,96503,137022,202181,128966,1205682,377975,127763,58039,143825,101544,180232,78996,48764,101509,152582,119772,160262,618903,418558
118520,43903,111217,110586,100358,65978,27016,40041,134121,125612,83841,1109674,469987,92800,58726,55354,63607,113905,31675,24058,49181,83375,77001,134828,563541,335196
57485,20178,21885,18918,49142,23565,15833,36283,54631,53862,29138,561672,100209,72049,38815,38083,38470,72190,20802,26476,51242,64163,56578,109473,420207,213545
169399,59758,68871,82636,80033,68026,76771,144753,87112,154543,126927,981784,327978,114829,47314,70856,57271,108034,44866,42547,105290,92652,107607,185180,578970,306076
144710,206355,39258,69536,136609,49682,34521,219250,87598,133654,177953,1008478,317923,115692,68741,54142,52025,100512,31477,32164,79646,83810,75413,170667,625938,293394
108263,87668,47369,67925,167030,54444,24959,56382,59391,101672,82035,928447,261051,115491,55431,56363,44237,104590,36433,33062,64007,90148,79707,133835,602398,307567
